Ch_0,Ch_1,Ch_2,Ch_3,Ratio_0_1,TimeDiff_0_1,Ratio_2_3,TimeDiff_2_3
2443,2287,2179,3081,1.0682116309575864,-376,0.7072379097695554,2905
597,302,337,561,1.9768211920529801,-5375,0.6007130124777184,3376
1166,1198,2584,1137,0.9732888146911519,-376,2.272647317502199,-188
2099,1612,1952,1171,1.3021091811414391,-157,1.6669513236549958,-782
720,653,1219,1126,1.1026033690658499,-375,1.0825932504440496,1750
1808,1474,4705,1080,1.2265943012211669,469,4.356481481481482,-3220
2581,2256,2085,1602,1.1440602836879432,-685,1.301498127340824,-1219
2398,1688,1518,1545,1.4206161137440758,-1251,0.9825242718446602,1594
1894,1716,2911,1495,1.1037296037296038,655,1.9471571906354515,-2265
1153,2391,1583,1560,0.4822250104558762,2469,1.0147435897435897,-374
1123,950,1085,5936,1.1821052631578948,-1561,0.18278301886792453,5741
303,444,408,224,0.6824324324324325,3001,1.8214285714285714,-2875
575,726,657,601,0.7920110192837465,-1749,1.0931780366056572,124
1261,2616,1344,1242,0.4820336391437309,1499,1.0821256038647342,-249
1003,998,668,623,1.0050100200400802,-313,1.07223113964687,875
872,1329,1390,856,0.6561324303987961,1688,1.6238317757009346,-1749
1902,4469,2044,1704,0.4255985679122846,3047,1.199530516431925,500
854,2212,963,865,0.3860759493670886,2219,1.1132947976878613,-939
1477,1775,1613,1435,0.832112676056338,-531,1.12404181184669,1561
620,717,736,428,0.8647140864714087,-374,1.719626168224299,499
946,889,2163,790,1.064116985376828,-499,2.7379746835443037,-2061
2360,2916,3343,2245,0.8093278463648834,812,1.489086859688196,172
3574,1618,1792,1587,2.2088998763906056,-2672,1.129174543163201,2439
1884,1280,1197,1032,1.471875,-1281,1.1598837209302326,1812
1518,2055,1785,1346,0.7386861313868613,1563,1.326151560178306,531
479,210,277,290,2.280952380952381,-2375,0.9551724137931035,1249
2610,1864,1717,1687,1.400214592274678,-1249,1.01778304682869,2344
226,210,246,281,1.0761904761904761,500,0.8754448398576512,1500
1190,1246,1147,905,0.9550561797752809,-750,1.267403314917127,-1500
774,875,669,573,0.8845714285714286,-1251,1.1675392670157068,-875
927,825,1215,1084,1.1236363636363635,625,1.1208487084870848,561
1234,1278,1046,800,0.9655712050078247,-1001,1.3075,376
3107,2469,3149,2050,1.2584042122316728,-485,1.5360975609756098,468
2072,2006,1756,1890,1.032901296111665,-938,0.9291005291005291,1062
4067,1343,1578,1321,3.028294862248697,-4485,1.194549583648751,2031
297,304,440,561,0.9769736842105263,-3501,0.7843137254901961,1750
754,664,532,416,1.1355421686746987,-374,1.2788461538461537,499
1404,1368,893,701,1.0263157894736843,-499,1.2738944365192582,1189
2114,2033,2004,1702,1.0398425971470733,-249,1.1774383078730906,1156
694,989,1252,620,0.7017189079878665,2187,2.0193548387096776,-3186
1109,1111,1526,774,0.9981998199819982,-249,1.971576227390181,-282
1688,2516,1865,1511,0.670906200317965,593,1.2342819324950365,-31
1027,888,3967,642,1.1565315315315314,1436,6.179127725856698,-2390
754,1153,1227,606,0.6539462272333044,62,2.0247524752475248,-1376
2318,1323,1223,1192,1.7520786092214664,-2781,1.026006711409396,1937
1577,1426,1417,1421,1.105890603085554,752,0.9971850809289233,531
434,890,908,481,0.48764044943820223,1064,1.8877338877338878,-1439
1505,982,1248,986,1.5325865580448066,-1782,1.2657200811359026,813
658,1104,1270,815,0.5960144927536232,563,1.5582822085889572,-656
530,493,934,752,1.075050709939148,-1001,1.2420212765957446,251
976,4597,1254,1121,0.21231237763758973,3392,1.11864406779661,625
1356,1262,2282,2014,1.0744849445324882,-501,1.1330685203574975,1313
598,604,363,283,0.9900662251655629,-751,1.2826855123674912,375
1497,2334,1439,1455,0.6413881748071979,3407,0.9890034364261169,529
1042,535,623,918,1.9476635514018692,-4438,0.6786492374727668,4187
905,897,1069,5604,1.0089186176142697,-687,0.19075660242683798,6024
1678,1273,1451,1639,1.3181461115475255,-1624,0.8852959121415497,-250
488,410,415,709,1.1902439024390243,-1250,0.5853314527503526,2125
1210,1148,1081,776,1.0540069686411149,63,1.393041237113402,-1876
1518,1004,1233,1371,1.5119521912350598,-1968,0.899343544857768,2344
2630,1986,2029,1757,1.324269889224572,-311,1.1548093340922025,813
1090,1029,1191,929,1.0592808551992225,-937,1.2820236813778256,1875
1516,1236,1585,1264,1.226537216828479,-937,1.2539556962025316,1282
227,269,218,262,0.8438661710037175,-1999,0.8320610687022901,750
776,1218,1350,636,0.6371100164203612,1813,2.1226415094339623,-1625
1324,1234,1481,897,1.072933549432739,-3000,1.6510590858416945,-31
341,349,355,221,0.9770773638968482,751,1.6063348416289593,1125
1096,1335,1521,802,0.8209737827715355,-1001,1.8965087281795512,1156
1426,1398,3799,963,1.0200286123032904,187,3.9449636552440293,-3422
359,372,441,579,0.9650537634408602,-1126,0.7616580310880829,1501
2581,1730,1933,1950,1.4919075144508671,-2469,0.9912820512820513,2313
566,842,973,565,0.672209026128266,374,1.7221238938053098,-313
1157,1190,1330,2801,0.9722689075630252,-1748,0.4748304177079614,2703
862,823,922,6583,1.0473876063183476,-1563,0.14005772444174389,6757
7416,7094,7610,6939,1.0453904708204116,718,1.09669981265312,1132
652,740,1141,857,0.8810810810810811,-375,1.3313885647607935,1250
912,1310,1509,676,0.6961832061068702,1063,2.2322485207100593,-1656
306,197,215,251,1.5532994923857868,-1876,0.8565737051792829,2500
1234,939,1076,657,1.3141640042598508,-2749,1.6377473363774733,-687
1049,750,2035,664,1.3986666666666667,-64,3.0647590361445785,-2093
1751,1485,1710,2205,1.179124579124579,-1343,0.7755102040816326,2687
2747,1426,1512,971,1.926367461430575,-3218,1.557157569515963,1094
198,415,249,196,0.4771084337349398,3750,1.2704081632653061,1750
160,187,272,237,0.8556149732620321,-249,1.1476793248945147,1000
2838,2593,3558,3237,1.0944851523332049,-63,1.0991658943466172,2235
5243,1785,2338,1778,2.937254901960784,-4361,1.31496062992126,2221
1244,1389,1325,1159,0.8956083513318934,-561,1.1432269197584124,0
951,771,1292,1223,1.2334630350194553,-250,1.0564186426819298,436
1260,1144,1377,2588,1.1013986013986015,-749,0.5320710973724884,3108
1114,1150,2220,1063,0.9686956521739131,625,2.088428974600188,-782
1304,1234,2751,1146,1.0567260940032415,1000,2.400523560209424,-1014
1596,1544,2455,2133,1.0336787564766838,-1376,1.1509610876699485,1250
1090,940,1216,1332,1.1595744680851063,-937,0.9129129129129129,2000
1738,2389,2527,1512,0.7275010464629552,812,1.6712962962962963,-625
2463,6813,2785,2514,0.3615147512109203,6000,1.1077963404932378,1188
854,1217,911,861,0.7017255546425637,2312,1.0580720092915215,-938
212,349,277,212,0.6074498567335244,1001,1.3066037735849056,-3000
5766,1754,2173,1802,3.287343215507412,-5016,1.2058823529411764,2499
1224,1131,8158,763,1.0822281167108754,249,10.692005242463958,-5742
684,451,603,747,1.516629711751663,-250,0.8072289156626506,1001
1106,1002,1039,2771,1.1037924151696608,-1500,0.3749548899314327,3420
938,877,1822,1597,1.0695553021664765,-312,1.1408891671884784,1312
2082,1303,1694,1530,1.597851112816577,-2783,1.1071895424836602,1813
